FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_1.jpg,0,0,0,74058,156,118,95,70225,105,90,78,53988,244,161,81,33275,67,50,43,30598
Normal_10.jpg,0,0,0,75265,105,81,85,72546,69,59,68,60345,149,113,110,33539,214,155,139,20449
Normal_100.jpg,0,0,0,74725,154,141,151,50929,75,56,61,48577,112,114,131,44063,128,92,90,43850
Normal_101.jpg,0,0,0,74468,113,97,96,68773,56,47,50,55300,142,144,145,34522,223,144,111,29081
Normal_102.jpg,0,0,0,74173,101,97,97,62982,127,119,114,48650,153,142,133,45035,76,68,67,31304
Normal_103.jpg,0,0,0,83388,165,129,108,47843,197,152,122,47327,121,108,94,45557,90,82,75,38029
Normal_104.jpg,0,0,0,77974,103,104,110,57833,140,131,137,57151,60,70,81,37957,186,155,152,31229
Normal_105.jpg,0,0,0,78693,179,120,89,64082,130,112,102,43834,88,63,58,43001,148,95,74,32534
Normal_106.jpg,0,0,0,78878,133,123,117,65479,182,121,92,53948,216,175,120,34644,126,87,71,29195
Normal_107.jpg,0,0,0,79390,187,144,137,60485,163,131,127,53361,96,88,97,35717,135,107,109,33191
Normal_108.jpg,0,0,0,76302,168,132,128,53193,190,151,141,47224,135,115,118,46963,94,90,99,38462
Normal_109.jpg,0,0,0,81731,121,86,89,67680,88,64,72,44624,48,39,53,37924,161,115,103,30185
Normal_110.jpg,0,0,0,81037,128,124,134,69054,185,148,145,58848,167,120,115,33035,119,90,91,20170
Normal_111.jpg,0,0,0,82901,131,123,145,62317,140,106,111,48737,106,98,110,36944,171,129,137,31245
Normal_112.jpg,0,0,0,74683,158,114,65,58892,109,96,58,52977,218,125,55,51505,85,64,38,24087
Normal_113.jpg,0,0,0,75133,225,175,146,56000,212,222,222,48037,69,65,65,44857,151,118,105,38117
Normal_114.jpg,0,0,0,83401,131,124,133,71921,161,119,118,44078,194,146,130,37696,105,82,84,25048
Normal_115.jpg,0,0,0,82196,149,140,127,64563,85,93,98,46191,118,116,112,39022,177,159,140,30172
Normal_116.jpg,0,0,0,83102,131,106,107,64422,169,122,118,63487,99,83,87,33237,209,157,135,17896
Normal_117.jpg,0,0,0,80489,184,132,123,53598,152,96,88,48216,141,116,122,48066,98,71,73,31775
Normal_118.jpg,0,0,0,84704,152,124,83,56195,171,148,107,53909,191,134,77,44323,124,94,57,23013
Normal_119.jpg,0,0,0,83923,125,115,71,67771,167,102,48,48368,101,63,23,37763,202,140,66,24319
Normal_120.jpg,0,0,0,85625,159,108,58,63129,126,94,51,40364,96,77,39,36829,195,128,70,36197
Normal_121.jpg,0,0,0,74413,128,111,111,59565,86,71,72,58160,187,118,96,38779,249,165,103,31227
Normal_122.jpg,0,0,0,75188,102,102,115,69405,136,124,130,45280,163,101,86,40377,92,68,67,31894
Normal_123.jpg,0,0,0,74864,92,82,79,53113,124,114,105,49720,51,50,54,48820,163,150,131,35627
